article_number,article_details,book,chapter,section,linked_definitions,linked_articles
124,"المادة 124 من قانون العمل المصري: ينتهي عقد العمل بعجز العامل عن تأدية عمله عجزا كليا أيا كان سبب هذا العجز.
فإذا كان عجز العامل عجزا جزئيا فلا تنتهي علاقة العمل بهذا العجز إلا إذا ثبت عدم وجود عمل آخر لدى صاحب العمل يستطيع العامل أن يقوم به على وجه مرض ، ويثبت وجود أو عدم وجود العمل الآخر وفقا لأحكام قانون التأمين الاجتماعي.
وإذا ثبت وجود هذا العمل الآخر كان على صاحب العمل بناء على طلب العامل أن ينقله إلى ذلك العمل مع عدم الإخلال بأحكام قانون التأمين الاجتماعي .",الكتاب الثاني: علاقات العمل الفردية,الباب السابع: انقضاء علاقة العمل,,"{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه', 'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.'}",[]
125,"المادة 125 من قانون العمل المصري: لا يجوز تحديد سن للتقاعد تقل عن ستين سنة.
ويجوز لصاحب العمل إنهاء عقد العامل إذا بلغ سن الستين ، ما لم يكن العقد محدد المدة وكانت مدته تمتد إلى ما بعد بلوغه هذه السن ، ففي هذه الحالة لا ينتهي العقد إلا بانقضاء مدته.
وفى جميع الأحوال يجب عدم الإخلال بأحكام قانون التأمين الاجتماعي فيما يتعلق بسن استحقاق المعاش وبحق العامل فى الاستمرار فى العمل بعد بلوغه هذه السن استكمالا للمدة الموجبة لاستحقاق المعاش.
",الكتاب الثاني: علاقات العمل الفردية,الباب السابع: انقضاء علاقة العمل,,{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه'},[]
126,"المادة 126 من قانون العمل المصري: يستحق العامل عن مدة عمله بعد سن الستين مكافأة بواقع أجر نصف شهر عن كل سنة من السنوات الخمس الأولى ، وأجر شهر عن كل سنة من السنوات التالية لها ، وذلك إذا لم تكن له حقوق عن هذه المدة وفقا لأحكام تأمين الشيخوخة والعجز والوفاة المنصوص عليها فى قانون التأمين الاجتماعي.
وتستحق المكافأة المنصوص عليها فى الفقرة السابقة عن سنوات الخدمة السابقة على سن الثامنة عشرة وذلك للمتدرج والعامل عند بلوغ هذه السن ، وتحسب المكافأة على أساس أخر ما كان يتقاضاه.
",الكتاب الثاني: علاقات العمل الفردية,الباب السابع: انقضاء علاقة العمل,,{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه'},[]
127,"المادة 127 من قانون العمل المصري: يحظر على صاحب العمل إنهاء عقد العمل لمرض العامل إلا إذا استنفد العامل إجازاته المرضية وفقا لما يحدده قانون التأمين الاجتماعى ، بالإضافة إلى متجمد إجازاته السنوية المستحقة له.
وعلى صاحب العمل أن يخطر العامل برغبته فى إنهاء العقد قبل مضى خمسة عشر يوما من تاريخ استنفاد العامل لإجازاته.
فإذا شفى العامل قبل تمام الإخطار امتنع على صاحب العمل إنهاء العقد لمرض العامل.",الكتاب الثاني: علاقات العمل الفردية,الباب السابع: انقضاء علاقة العمل,,"{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه', 'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.'}",[]
128,"المادة 128 من قانون العمل المصري: للعاملة أن تنهى عقد العمل سواء كان محدد المدة أو غير محدد المدة بسبب زواجها أو حملها أو إنجابها دون أن يؤثر ذلك على الحقوق المقررة لها وفقا لأحكام هذا القانون أو لأحكام قانون التأمين الاجتماعي.
وعلى العاملة التى ترغب فى إنهاء العقد للأسباب المبينة فى الفقرة السابقة أن تخطر صاحب العمل كتابة برغبتها في ذلك خلال ثلاثة أشهر من تاريخ إبرام عقد الزواج أو ثبوت الحمل أو من تاريخ الوضع بحسب الأحوال.",الكتاب الثاني: علاقات العمل الفردية,الباب السابع: انقضاء علاقة العمل,,{'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.'},[]
129,"المادة 129 من قانون العمل المصري: لصاحب العمل أن ينهى عقد العمل ولو كان محدد المدة أو مبرما لإنجاز عمل معين إذا حكم على العامل نهائيا بعقوبة جناية أو بعقوبة مقيدة للحرية فى جريمة ماسة بالشرف أو الأمانة أو الآداب العامة ، وذلك ما لم تأمر المحكمة بوقف تنفيذ العقوبة.
",الكتاب الثاني: علاقات العمل الفردية,الباب السابع: انقضاء علاقة العمل,,{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه'},[]
130,"المادة 130 من قانون العمل المصري: يلتزم صاحب العمل أن يعطى العامل دون مقابل عند انتهاء عقده وبناء على طلبه شهادة يبين فيها تاريخ التحاقه بالخدمة وتاريخ انتهائها ، ونوع العمل الذى كان يؤديه،  والمزايا التى كان يحصل عليها.
وللعامل أن يحصل من صاحب العمل دون مقابل على شهادة بتحديد خبرته وكفاءته المهنية وذلك أثناء سريان العقد وفى نهايته.
ويجوز بناء على طلب العامل تضمين الشهادة مقدار الأجر الذى كان يتقاضاه وسبب إنهاء علاقة العمل.
ويلتزم صاحب العمل بأن يرد للعامل عند انتهاء عقدة ما يكون قد أودعه لديه من أوراق أو شهادات أو أدوات فور طلبها.


",الكتاب الثالث: التوجيه والتدريب المهنى,,,"{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه', 'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.', 'الأجر': 'كل ما يحصل عليه العامل لقاء عمله ، ثابتا كان أو متغيرا ، نقدا أو عينا.\nويعتبر أجرا على الأخص ما يلى: ۱ - العمولة التي تدخل في إطار علاقة العمل.  \n۲ - النسبة المئوية ، وهى ما قد يدفع للعامل مقابل ما يقوم بإنتاجه أو بيعه أو تحصيله طوال قيامة بالعمل المقرر له هذه النسبة \n۳ - العلاوات أيا كان سبب استحقاقها أو نوعها.  \n٤ - المزايا العينية التي يلتزم بها صاحب العمل دون أن تستلزمها مقتضيات العمل.  \n٥ - المنح : وهى ما يعطى للعامل علاوة على أجره وما يصرف له جزاء أمانته أو كفاءته متى كانت هذه المنح مقررة فى عقود العمل الفردية أو الجماعية أو في الأنظمة الأساسية للعمل ، وكذلك ما جرت العادة بمنحه متى توافرت لها صفات العمومية والدوام والثبات.  \n٦ - البدل : وهو ما يعطى للعامل لقاء ظروف أو مخاطر معينة يتعرض لها في أداء عمله.  \n۷ - نصيب العامل فى الأرباح.  \n۸ - الوهبة التي يحصل عليها العامل إذا جرت العادة بدفعها وكانت لها قواعد تسمح بتحديدها ، وتعتبر فى حكم الوهبة النسبة المئوية التي يدفعها العملاء مقابل الخدمة فى المنشآت السياحية.  \n     ويصدر قرار من الوزير المختص بالاتفاق مع المنظمة النقابية المعنية بكيفية توزيعها على العاملين وذلك بالتشاور مع الوزير المعنى.'}",[]
131,"المادة 131 من قانون العمل المصري: يقصد في تطبيق أحكام هذا الكتاب بالمصطلحات الآتية المعاني المبينة قرين كل منها:
بالتوجيه المهني : مساعدة الفرد في اختيار المهنة أو المسار المهني الأكثر ملائمة لقدراته واستعداده وميوله فى ضوء الدراسات المستمرة لسوق العمل والمهن المطلوبة ومقوماتها.
بالتدريب المهني : الوسائل التى من شأنها تمكين الفرد من اكتساب وتنمية المعارف والمهارات والقدرات اللازمة لإعداده للعملالمناسب.


",الكتاب الثالث: التوجيه والتدريب المهنى,الباب الأول: تنظيمات التدريب المهني,,{},[]
132,المادة 132 من قانون العمل المصري: يشكل المجلس الأعلى لتنمية الموارد البشرية ويصدر بتحديد اختصاصه ونظام العمل به،  قرار من رئيس الجمهورية ، ويتولى رسم السياسة القومية لتخطيط التنمية البشرية ووضع برنامج قومي لتنميتها واستخدامها الاستخدام الأمثل بالتنسيق مع الوزارات والجهات المختصة.,الكتاب الثالث: التوجيه والتدريب المهنى,الباب الأول: تنظيمات التدريب المهني,,{},[]
133,"المادة 133 من قانون العمل المصري: ينشأ صندوق لتمويل التدريب والتأهيل تكون له الشخصية الاعتبارية العامة ، يتبع الوزير المختص ، وذلك لتمويل إنشاء وتطوير وتحديث مراكز وبرامج التدريب التى تستهدف المواءمة بين احتياجات سوق العمل المحلى والخاص.
ويختص الصندوق بوضع الشروط والقواعد التى تتبع لبرامج ومدد التدريب المهني الدراسية والنظرية ، ونظم الاختبارات والشهادات الاتى تصدر فى هذا الشأن.
ويصدر رئيس مجلس الوزراء قرارا بتشكيل مجلس إدارة الصندوق برئاسة الوزير المختص يحدد نظام العمل به وفروعه فى المحافظات ولائحته التنفيذية ونظام تحصيل موارده والنظام المحاسبي الواجب إتباعه ونظام الرقابة على أمواله.
",الكتاب الثالث: التوجيه والتدريب المهنى,الباب الأول: تنظيمات التدريب المهني,,{'الوزير المختص': 'الوزير المختص بالقوى العاملة.'},[]
134,"المادة 134 من قانون العمل المصري: تتكون موارد الصندوق المشار إليه في المادة السابقة من :
۱ - 1% من صافى أرباح المنشآت الخاضعة لأحكام هذا القانون والتي يزيد عدد العاملين بها على عشرة عمال.
۲ - ما تخصصه له الدولة من موارد.
۳ - الإعانات والتبرعات والهبات التي يقبلها مجلس إدارة الصندوق طبقا للقواعد التي تحددها اللائحة التنفيذية للصندوق.
٤ - 4-عائد استثمار أموال الصندوق ، طبقا للقواعد التي تحددها اللائحة التنفيذية للصندوق.
ويكون للصندوق حساب خاص لدى أحد البنوك التجارية المعتمدة لدى البنك المركزي وترحل أمواله من سنة مالية إلى أخرى.
ويعد الصندوق سنويا القوائم الدالة على المركز المالى وتخضع أمواله لرقابة الجهاز المركزي للمحاسبات.

",الكتاب الثالث: التوجيه والتدريب المهنى,الباب الثانى: الترخيص بمزاولة عمليات التدريب المهنى,,{},[133]
135,"المادة 135 من قانون العمل المصري: لا يجوز لأية جهة مزاولة عمليات التدريب المهني إلا إذا كانت متخذة شكل شركة من شركات المساهمة أو التوصية بالأسهم أو الشركات ذات المسئولية المحدودة ، ويحدد المجلس الأعلى لتنمية الموارد البشرية المنصوص عليه في المادة (132) من هذا القانون الحد الأدنى لرأسمال كل من هذه الشركات بحسب نوع النشاط الذي تمارس فيه عملية التدريب.
ويستثنى من أحكام الفقرة السابقة:
۱ - الجهات والمنظمات النقابية والجمعيات والمؤسسات الأهلية المنشأة وفقا للقانون رقم 84 لسنة 2002، والتي تزاول عملياتالتدريب المهني وقت صدور هذا القانون.
۲ - الجهات التي تنشئها وحدات الجهاز الإداري للدولة والهيئات العامة ووحدات الإدارة المحلية.
۳ - الجهات التي تزاول عمليات التأهيل والتدريب المهني للمعوقين.
٤ - المنشآت التي تتولى تدريب عمالها.",الكتاب الثالث: التوجيه والتدريب المهنى,الباب الثانى: الترخيص بمزاولة عمليات التدريب المهنى,,{'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون العام أو الخاص.'},[132]
136,"المادة 136 من قانون العمل المصري: يشترط لمزاولة عمليات التدريب المهني الحصول على ترخيص بذلك من الوزارة المختصة باستثناء الجهات المنصوص عليها في البنود (2 ، 3 ، 4) من الفقرة الثانية من المادة السابقة.
ويصدر الوزير المختص قرارا بتحديد شروط وقواعد وإجراءات منح الترخيص وقيده في السجل الخاص.
ويعد بالوزارة المذكورة سجل لقيد الجهات التي يتم الترخيص لها بمزاولة عمليات التدريب المهني.
وتلتزم الجهات التي تزاول عمليات التدريب المهني وقت صدور هذا القانون بالحصول على الترخيص المشار إليه خلال سنة من تاريخ العمل بهذا القانون.
ويلغى الترخيص فى حالة الإخلال بأي شرط من شروطه.


",الكتاب الثالث: التوجيه والتدريب المهنى,الباب الثالث: مزاولة عمليات التدريب المهني,,"{'الوزير المختص': 'الوزير المختص بالقوى العاملة.', 'الوزارة المختصة': 'الوزارة المختصة بشئون القوى العاملة.'}",[135]
137,"المادة 137 من قانون العمل المصري: تلتزم الجهات المرخص لها بالتدريب المهني بعرض البرامج التدريبية التي تضعها على الأجهزة المعنية بالوزارة المختصة لاعتمادها، مراعية في ذلك:
۱ - الشروط التي يجب توافرها فى المتدربين للالتحاق بالبرامج ومصروفات التدريب.
۲ - مدى كفاية العمليات التدريبية من حيث موضوعات ومجالات التدريب وعدد الساعات المخصصة لها.
۳ - مستويات ونوعيات المدربين.
4	- مستوى المهارة التى يكتسبها المتدرب بعد الانتهاء من البرنامج.
5	- أية شروط أخرى تضعها الوزارة المختصة.
ويتم اعتماد البرامج المقدمة خلال ستين يوما من تاريخ تقديمها، ويعتبر فوات هذه المدة دون إخطار اعتمادا لهذه البرامج.
",الكتاب الثالث: التوجيه والتدريب المهنى,الباب الثالث: مزاولة عمليات التدريب المهني,,{'الوزارة المختصة': 'الوزارة المختصة بشئون القوى العاملة.'},[]
138,"المادة 138 من قانون العمل المصري: يشترط فى المدربين الذين يزاولون أعمال التدريب المهني أن يرخص لهم بذلك من الوزارة المختصة.
ويصدر الوزير المختص قرارا بتحديد شروط وقواعد وإجراءات منح الترخيص ، وحالات إلغائه.
ويعد بالوزارة المختصة سجل لقيد المدربين المرخص لهم ، يتم التأشير فيه بحالات إلغاء التراخيص.


",الكتاب الثالث: التوجيه والتدريب المهنى,الباب الرابع: قياس مستوى المهارة وترخيص مزاولة الحرف,,"{'الوزير المختص': 'الوزير المختص بالقوى العاملة.', 'الوزارة المختصة': 'الوزارة المختصة بشئون القوى العاملة.'}",[]
139,"المادة 139 من قانون العمل المصري: تلتزم الجهة التي تزاول عمليات التدريب المهني أن تمنح المتدرب شهادة تفيد اجتيازه البرنامج التدريبي الذى عقدته وتبين المستوىالذي بلغه.
ويحدد بقرار من الوزير المختص البيانات الأخرى التي تدون في هذه الشهادة ، وكذلك الأحكام الخاصة بقياس مستوى المهارة والجهات التي تختص بتحديد هذا المستوى ، والحرف التي تخضع لهذا القياس ، وكيفية إجرائه وشروط التقدم له والمكان الذي يجرى فيه بالنسبة لكل حرفة ، والشهادات التى تمنحها الجهات التي تتولى هذا الإجراء ، ودرجات المهارة التي تقدرها ، وجميع البيانات التى يجب إثباتها فى تلك الشهادات مع بيان الرسم المقرر عنها بما لا يجاوز أربعين جنيها وحالات الإعفاء من هذا الرسم.",الكتاب الثالث: التوجيه والتدريب المهنى,الباب الرابع: قياس مستوى المهارة وترخيص مزاولة الحرف,,{'الوزير المختص': 'الوزير المختص بالقوى العاملة.'},[]
140,"المادة 140 من قانون العمل المصري: على كل من يرغب في مزاولة حرفة من الحرف الواردة بقرار من الوزير المختص المشار إليها في المادة السابقة، التقدم للجهة الإدارية المختصة بطلب الحصول على ترخيص مزاولة الحرفة.
ويحظر على صاحب العمل استخدام عامل في إحدى الحرف المبينة بالقرار الوزاري المشار إليه بالفقرة السابقة ، إلا إذا كان العامل حاصلا على الترخيص المذكور.
ويحدد بقرار من الوزير المختص ، بعد أخذ رأى التنظيم النقابي ، شروط وقواعد وإجراءات منح الترخيص والرسم المقرر له بما لا يجاوز أربعين جنيها ، وحالات الإعفاء منه.

",الكتاب الثالث: التوجيه والتدريب المهنى,الباب الخامس: التدرج,,"{'العامل': 'كل شخص طبيعي يعمل لقاء أجر لدى صاحب عمل وتحت إدارته أو إشرافه', 'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.', 'الوزير المختص': 'الوزير المختص بالقوى العاملة.'}",[139]
141,"المادة 141 من قانون العمل المصري: يعتبر متدرجا كل من يلتحق لدى صاحب عمل بقصد تعلم مهنة أو صنعة.
ويصدر الوزير المختص قرارا بالقواعد والإجراءات المنظمة للتدرج المهني.",الكتاب الثالث: التوجيه والتدريب المهنى,الباب الخامس: التدرج,,{'الوزير المختص': 'الوزير المختص بالقوى العاملة.'},[]
142,"المادة 142 من قانون العمل المصري: يجب أن يكون اتفاق التدرج مكتوبا وتحدد فيه مدة تعلم المهنة أو الصنعة ومراحلها المتتابعة والمكافأة فى كل مرحلة بصورة تصاعدية ، على ألا تقل فى المرحلة الأخيرة عن الحد الأدنى للأجر المحدد لفئة العمال فى المهنة أو الصنعة التى يتدرج فيها.
",الكتاب الثالث: التوجيه والتدريب المهنى,الباب الخامس: التدرج,,{},[]
143,"المادة 143 من قانون العمل المصري: لصاحب العمل أن ينهى اتفاق التدرج إذا ثبت لدية عدم صلاحية المتدرج أو عدم استعداده لتعلم المهنة أو الصنعة بصورة حسنة ، كما يجوز للمتدرج أن ينهى الاتفاق.
ويشترط أن يخطر الطرف الراغب فى إنهاء الاتفاق الطرف الآخر بذلك قبل ثلاثة أيام على الأقل.",الكتاب الثالث: التوجيه والتدريب المهنى,الباب الخامس: التدرج,,{},[]
144,"المادة 144 من قانون العمل المصري: تسرى على المتدرجين الأحكام الخاصة بالإجازات وساعات العمل وفترات الراحة المنصوص عليها فى المواد من (47) إلى (55) ومن (80) إلى (87) من هذا القانون.

",الكتاب الرابع: علاقات العمل الجماعية,الباب الأول: التشاور والتعاون,,{},"[47, 48, 49, 50, 51, 52, 53, 54, 55, 80, 81, 82, 83, 84, 85, 86, 87]"
145,"المادة 145 من قانون العمل المصري: يشكل بقرار من رئيس مجلس الوزراء مجلس استشاري للعمل بضم فى عضويته ممثلين للجهات المعنية وعددا من ذوى الخبرة وممثلين لكل من منظمات أصحاب الأعمال ومنظمات العمال تختارهم منظماتهم بالتساوي بينهم ، ويحدد القرار رئيس المجلس ونظام العمل به ويتولى المجلس على وجه الخصوص ما يلى:
(أ‌)	إبداء الرأي فى مشروعات القوانين المتعلقة بعلاقات العمل.
(ب‌)	إبداء الرأي فى اتفاقيات العمل الدولية قبل التوقيع عليها.
(ج)دراسة الموضوعات ذات الصلة بالعلاقات المهنية والإنتاجية على المستوى القومي.
(د)اقتراح وسائل توثيق التعاون بين منظمات العمال ومنظمات أصحاب الأعمال.
(هـ)اقتراح الحلول المناسبة لاتقاء منازعات العمل الجماعية على المستوى القومي ، وعلى الأخص فى الأزمات الاقتصادية التي تؤدى إلى توقف بعض المشروعات عن العمل كليا أو جزئيا.
(و) إبداء الرأي فى الموضوعات التى تعرضها عليه الوزارة المختصة.

",الكتاب الرابع: علاقات العمل الجماعية,الباب الثاني: المفاوضة الجماعية,,{'الوزارة المختصة': 'الوزارة المختصة بشئون القوى العاملة.'},[]
146,"المادة 146 من قانون العمل المصري: المفاوضة الجماعية هي الحوار والمناقشات التي تجرى بين المنظمات النقابية العمالية وبين أصحاب الأعمال أو منظماتهم، من أجل:
(‌أ)	تحسين شروط وظروف العمل وأحكام الاستخدام.
(‌ب)	التعاون بين طرفي العمل لتحقيق التنمية الاجتماعية لعمال المنشأة.
(‌ج)	تسوية المنازعات بين العمال وأصحاب الأعمال.",الكتاب الرابع: علاقات العمل الجماعية,الباب الثاني: المفاوضة الجماعية,,{'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون العام أو الخاص.'},[]
147,المادة 147 من قانون العمل المصري: تكون المفاوضة الجماعية على مستوى المنشأة أو فرع النشاط أو المهنة أو الصناعة كما تكون على المستوى الإقليمى أو القومى.,الكتاب الرابع: علاقات العمل الجماعية,الباب الثاني: المفاوضة الجماعية,,{'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون العام أو الخاص.'},[]
148,"المادة 148 من قانون العمل المصري: يتم التفاوض في المنشآت التي تستخدم خمسين عاملا فأكثر بين ممثلين عن اللجنة النقابية بالمنشأة والنقابة العامة وبين صاحب العمل       فإذا لم توجد لجنة نقابية بالمنشأة يكون التفاوض بين صاحب العمل وخمسة عمال تختارهم النقابة العامة المعنية على أن يكون من بينهم ثلاثة على الأقل من عمال المنشأة.
وبالنسبة للمنشآت التى تستخدم أقل من خمسين عاملا يتم التفاوض بين ممثلين عن النقابة العامة المعنية ، وبين ممثلين عن منظمة أصحاب الأعمال المعنية أو عن صاحب العمل ، ويعتبر ممثلو كل طرف مفوضين قانونا فى إجراء التفاوض وإبرام ما يسفر عنه من اتفاق .
فإذا رفض أحد الطرفين البدء فى إجراءات المفاوضة الجماعية جاز للطرف الآخر أن يطلب من الجهة الإدارية المختصة تحريك إجراءات التفاوض بإخطار منظمة أصحاب الأعمال أو المنظمة النقابية للعمال بحسب الأحوال لمباشرة التفاوض الجماعي نيابة عن الطرف الرافض ، وتعتبر المنظمة المختصة فى هذه الحالة مفوضة قانونا فى التفاوض وتوقيع الاتفاق الجماعي.",الكتاب الرابع: علاقات العمل الجماعية,الباب الثاني: المفاوضة الجماعية,,"{'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.', 'المنشأة': 'كل مشروع أو مرفق يملكه أو يديره شخص من أشخاص القانون العام أو الخاص.'}",[]
149,"المادة 149 من قانون العمل المصري: يلتزم صاحب العمل بتقديم ما يطلبه ممثلو التنظيم النقابي فى المفاوضات الجماعية من بيانات ومعلومات خاصة بالمنشأة.
ولصاحب العمل أو ممثلي التنظيم النقابي طلب هذه البيانات من منظماتهم بحسب الأحوال.
ويلتزم الاتحاد العام لنقابات عمال مصر،  ومنظمات أصحاب الأعمال بتقديم ما يلزم لحسن سير المفاوضات الجماعية من البيانات والمعلومات الخاصة بفرع النشاط أو المهنة أو الصناعة ، وللاتحاد العام والمنظمات المشار إليها طلب هذه البيانات والمعلومات من الجهات المعنية.
ويراعى فى جميع الأحوال أن تكون البيانات والمعلومات المطلوبة جوهرية ولازمة للسير فى المفاوضة.",الكتاب الرابع: علاقات العمل الجماعية,الباب الثاني: المفاوضة الجماعية,,{'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.'},[]
150,المادة 150 من قانون العمل المصري: يحظر على صاحب العمل أثناء المفاوضة اتخاذ إجراءات أو إصدار قرارات تتعلق بالموضوعات المطروحة للتفاوض ، إلا عند قيام حالة الضرورة والاستعجال ، ويشترط أن يكون الإجراء أو القرار فى هذه الحالة مؤقتا.,الكتاب الرابع: علاقات العمل الجماعية,الباب الثاني: المفاوضة الجماعية,,{'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.'},[]
151,"المادة 151 من قانون العمل المصري: يدون الاتفاق الذى تسفر عنه المفاوضة فى اتفاقية جماعية طبقا للشروط والقواعد الخاصة باتفاقيات العمل الجماعية الواردة فى هذا القانون.
فإذا لم تسفر المفاوضة عن اتفاق ، كان لأى من الطرفين أن يلجأ إلى الجهة الإدارية المختصة لمحاولة التوفيق بينهما ومساعدتهما للوصول إلى اتفاق.


",الكتاب الرابع: علاقات العمل الجماعية,الباب الثالث: اتفاقيات العمل الجماعية,,{},[]
152,المادة 152 من قانون العمل المصري: اتفاقية العمل الجماعية هي اتفاق ينظم شروط وظروف العمل وأحكام التشغيل ، ويبرم بين منظمة أو أكثر من المنظمات النقابية العمالية وبين صاحب عمل أو مجموعة من أصحاب الأعمال أو منظمة أو أكثر من منظماتهم.,الكتاب الرابع: علاقات العمل الجماعية,الباب الثالث: اتفاقيات العمل الجماعية,,{},[]
153,"المادة 153 من قانون العمل المصري: يجب أن تكون الاتفاقية الجماعية مكتوبة باللغة العربية ، وأن تعرض خلال خمسة عشر يوما من تاريخ توقيعها على مجلس إدارة النقابة العامة أو الاتحاد العام لنقابات عمال مصر على حسب الأحوال المقررة فى قانون النقابات العمالية ، وتكون الموافقة عليها من أيهما بالأغلبية المطلقة لأعضاء مجلس الإدارة وذلك خلال مدة لا تجاوز ثلاثين يوما من تاريخ توقيع الاتفاقية.
ويترتب على تخلف أى شرط من الشروط السابقة بطلان الاتفاقية.",الكتاب الرابع: علاقات العمل الجماعية,الباب الثالث: اتفاقيات العمل الجماعية,,{},[]
154,"المادة 154 من قانون العمل المصري: يقع باطلا كل حكم يرد فى الاتفاقية الجماعية يكون مخالفا لأحكام القانون أو النظام العام أو الآداب العامة.
وفى حالة تعارض حكم فى عقد العمل الفردي مع حكم مقابل فى الاتفاقية الجماعية ، يسرى الحكم الذى يحقق فائدة أكثر للعامل دون غيره.",الكتاب الرابع: علاقات العمل الجماعية,الباب الثالث: اتفاقيات العمل الجماعية,,{},[]
155,"المادة 155 من قانون العمل المصري: يكون إبرام الاتفاقية الجماعية لمدة محددة لا تزيد على ثلاث سنوات أو للمدة اللازمة لتنفيذ مشروع معين ، فإذا زادت المدة فى حالة الأخيرة على ثلاث سنوات تعين على طرفي الاتفاقية التفاوض لتجديدها كل ثلاث سنوات فى ضوء ما يكون قد استجد من ظروف اقتصادية واجتماعية.
ويتبع فى شأن التجديد الإجراءات الواردة بالمادة (156) من هذا القانون.",الكتاب الرابع: علاقات العمل الجماعية,الباب الثالث: اتفاقيات العمل الجماعية,,{},[156]
156,المادة 156 من قانون العمل المصري: يتعين على طرفي الاتفاقية سلوك طريق المفاوضة الجماعية لتجديدها قبل انتهاء مدتها بثلاثة أشهر ، فإذا انقضت المدة الأخيرة دون الاتفاق على التجديد امتد العمل بالاتفاقية مدة ثلاثة أشهر ويستمر التفاوض لتجديدها ، فإذا انقضى شهران دون التوصل إلى اتفاق كان لأى من طرفي الاتفاقية عرض الأمر على الجهة الإدارية المختصة لاتخاذ ما يلزم نحو إتباع إجراءات الوساطة وفقا لأحكام المادة (170) من هذا القانون.,الكتاب الرابع: علاقات العمل الجماعية,الباب الثالث: اتفاقيات العمل الجماعية,,{},[170]
157,المادة 157 من قانون العمل المصري: يلتزم صاحب العمل بأن يضع في مكان ظاهر في محل العمل الاتفاقية الجماعية متضمنة نصوصها والموقعين عليها وتاريخ إيداعها لدى الجهة الإدارية المختصة.,الكتاب الرابع: علاقات العمل الجماعية,الباب الثالث: اتفاقيات العمل الجماعية,,{'صاحب العمل': 'كل شخص طبيعي أو اعتباري يستخدم عاملا أو أكثر لقاء أجر.'},[]
158,"المادة 158 من قانون العمل المصري: تكون الاتفاقية الجماعية نافذة وملزمة لطرفيها بعد إيداعها لدى الجهة الإدارية المختصة ونشر هذا الإيداع بالوقائع المصرية مشتملا على ملخص لأحكام الاتفاقية.
وتتولى الجهة الإدارية المختصة قيد الاتفاقية خلال ثلاثين يوما من تاريخ إيداعها لديها ونشر القيد وفقا لأحكام الفقرة الأولى.
ولها خلال المدة المذكورة الاعتراض على الاتفاقية ورفض قيدها وإخطار طرفى الاتفاقية بالاعتراض والرفض وأسبابه ، وذلك بكتاب موصى عليه ومصحوب بعلم الوصول.
فإذا انقضت المدة المذكورة ولم تقم الجهة الإدارية بالقيد والنشر أو الاعتراض وجب عليها إجراء القيد والنشر وفقا للأحكام السابقة .

",الكتاب الرابع: علاقات العمل الجماعية,الباب الثالث: اتفاقيات العمل الجماعية,,{},[]
159,"المادة 159 من قانون العمل المصري: إذا رفضت الجهة الإدارية المختصة قيد الاتفاقية وفق أحكام المادة السابقة جاز لكل من طرفي الاتفاقية اللجوء إلى المحكمة الابتدائية التي يقع بدائرتها محل العمل بطلب القيد وفق الإجراءات المعتادة لرفع الدعوى ، وذلك خلال ثلاثين يوما من تاريخ الإخطار بالرفض
.
فإذا قضت المحكمة بقيد الاتفاقية وجب على الجهة الإدارية المختصة إجراء القيد في السجل الخاص ونشر ملخص الاتفاقية في الوقائع المصرية بلا مصروفات.",الكتاب الرابع: علاقات العمل الجماعية,الباب الثالث: اتفاقيات العمل الجماعية,,{},[158]
